STATE/UT,CRIME HEAD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mizoram,"GAMBLING ACT, 1867",0,2,54,54,0,0,0,0,0,0,0,2,0,3,5,1
Nagaland,"GAMBLING ACT, 1867",3,1,1,1,1,0,2,2,8,19,9,0,1,0,0,2
Odisha,"GAMBLING ACT, 1867",733,846,750,709,716,757,761,816,944,1173,1380,755,624,614,762,541
Punjab,"GAMBLING ACT, 1867",4305,5081,4537,3944,2957,2254,2301,2208,1783,1829,1943,3391,3862,4493,4137,4861
Rajasthan,"GAMBLING ACT, 1867",11245,11640,11323,12462,14482,14527,15625,15325,16237,19099,21495,9461,10486,10993,10458,10742
Sikkim,"GAMBLING ACT, 1867",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Tamil Nadu,"GAMBLING ACT, 1867",18717,14512,12636,11957,9445,8618,9475,6022,5574,5679,4398,17348,20376,18112,34982,33804
Tripura,"GAMBLING ACT, 1867",7,13,12,4,7,2,7,11,2,5,0,5,1,1,4,2
Uttar Pradesh,"GAMBLING ACT, 1867",8201,9350,12120,13609,12100,8354,6938,7006,8339,8424,11174,6576,6615,8538,8708,8107
Uttarakhand,"GAMBLING ACT, 1867",616,507,442,557,455,241,243,265,238,341,351,238,328,404,466,555
West Bengal,"GAMBLING ACT, 1867",286,251,265,171,262,351,339,399,305,436,473,604,789,1092,897,371
A&N Islands,"GAMBLING ACT, 1867",20,40,56,31,48,60,66,83,90,53,58,17,22,10,20,13
Chandigarh,"GAMBLING ACT, 1867",323,235,212,144,147,244,330,414,333,454,188,107,117,224,257,313
D&N Haveli,"GAMBLING ACT, 1867",1,2,3,1,1,1,14,3,2,3,2,2,0,0,0,3
Daman & Diu,"GAMBLING ACT, 1867",1,4,6,5,2,2,8,13,7,8,6,5,1,0,2,1
Delhi,"GAMBLING ACT, 1867",1505,996,141,150,292,598,518,560,631,894,1098,1177,1336,1318,1306,1481
Lakshadweep,"GAMBLING ACT, 1867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"GAMBLING ACT, 1867",45,44,34,35,23,36,31,22,17,10,12,18,21,50,36,41
INDIA,"GAMBLING ACT, 1867",173930,184972,156247,162218,157958,154335,140302,131634,125494,130134,149004,151497,175001,175298,190682,189523
Andhra Pradesh,"EXCISE ACT, 1944",1272,1958,1933,6812,4689,3806,6914,8345,12516,7829,5431,2871,2759,1385,1686,758
Arunachal Pradesh,"EXCISE ACT, 1944",0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
Assam,"EXCISE ACT, 1944",33,43,62,20,2,17,27,15,14,28,41,182,99,68,44,78
Bihar,"EXCISE ACT, 1944",1645,1947,1627,2255,2180,2043,2706,3223,3555,4890,13472,1285,1234,946,1135,2209
Chattisgarh,"EXCISE ACT, 1944",11670,11595,13267,15296,15235,10606,11743,14698,14263,15919,16250,8907,8391,10491,10745,10877
Goa,"EXCISE ACT, 1944",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,"EXCISE ACT, 1944",0,0,10,0,2,1,0,0,0,0,0,0,0,1,0,5
Haryana,"EXCISE ACT, 1944",10797,7848,11637,13289,9819,9723,17628,20302,13540,16363,16276,12223,13485,12533,11438,10361
Himachal Pradesh,"EXCISE ACT, 1944",3442,2343,2587,2590,2298,1830,2097,737,1492,1738,2047,2949,2921,3094,3283,3220
Jammu & Kashmir,"EXCISE ACT, 1944",406,306,383,507,512,563,488,406,410,460,488,314,240,425,319,368
Jharkhand,"EXCISE ACT, 1944",275,263,220,557,418,315,329,294,598,300,488,309,216,190,216,444
Karnataka,"EXCISE ACT, 1944",1954,3641,6587,4294,3190,2402,2471,3954,3669,4088,5300,4308,2513,1592,1576,3051
Kerala,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,322,151,0,0,0
Madhya Pradesh,"EXCISE ACT, 1944",22605,21576,24631,27862,32246,36454,42693,50711,51646,51470,63253,19511,20087,18832,21358,24443
Maharashtra,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Manipur,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"EXCISE ACT, 1944",1,7,17,0,5,0,0,2,10,2,0,11,2,23,0,21
Mizoram,"EXCISE ACT, 1944",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Nagaland,"EXCISE ACT, 1944",63,91,51,49,22,31,26,38,35,0,0,2,17,33,140,86
Odisha,"EXCISE ACT, 1944",8849,7513,7225,8879,7330,7422,9301,11243,15065,15344,17417,8033,8665,9304,10993,10856
Punjab,"EXCISE ACT, 1944",9636,9313,8462,7357,7094,6386,7753,6568,7761,7506,7792,14922,16404,15443,15003,15110
Rajasthan,"EXCISE ACT, 1944",9329,9222,10386,12302,11687,12291,12911,12887,13072,14617,16070,7003,7736,8722,8612,8896
Sikkim,"EXCISE ACT, 1944",99,123,0,0,0,0,104,106,35,0,0,0,111,146,131,169
Tamil Nadu,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
Tripura,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,"EXCISE ACT, 1944",40362,46546,63185,74908,71883,41887,33878,32525,37360,51491,58848,19277,24138,33077,37304,34815
Uttarakhand,"EXCISE ACT, 1944",3041,3199,2786,3252,2244,1993,2235,2129,2152,2281,2675,2760,2571,3075,2818,2918
West Bengal,"EXCISE ACT, 1944",344,218,282,568,443,1756,2471,3097,4575,6575,6430,794,482,602,912,562
A&N Islands,"EXCISE ACT, 1944",5725,4475,3843,3874,3390,2855,2064,1889,1951,2094,1570,2959,3850,5523,6517,6530
Chandigarh,"EXCISE ACT, 1944",297,311,234,245,211,282,909,679,874,1097,818,393,395,709,556,224
D&N Haveli,"EXCISE ACT, 1944",6,4,1,9,2,1,1,0,9,10,3,8,7,4,22,16
Daman & Diu,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,"EXCISE ACT, 1944",15122,10769,2275,1396,2179,1946,1779,1894,1408,1967,2356,6881,8586,11292,13046,14584
Lakshadweep,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"EXCISE ACT, 1944",0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0
INDIA,"EXCISE ACT, 1944",146973,143311,161691,186322,177081,144614,160528,175744,186012,206069,237026,116247,125062,137513,147854,150604
Andhra Pradesh,PROHIBITION ACT,886,1530,1385,1931,1809,2065,2369,6360,7395,6112,1841,1685,2229,879,1020,1084
Arunachal Pradesh,PROHIBITION ACT,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0
Assam,PROHIBITION ACT,1,0,6,3,0,0,0,23,0,1,18,2,46,1,0,0
Bihar,PROHIBITION ACT,22,4,6,125,46,71,0,7,0,0,632,2,3,21,12,0
Chattisgarh,PROHIBITION ACT,0,0,0,0,1,0,937,4,0,1,26,0,2,1,2,0
Goa,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,PROHIBITION ACT,137022,158444,163310,176206,183769,187646,198297,217439,237608,254212,252373,112114,112253,113701,120862,126356
Haryana,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,PROHIBITION ACT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,PROHIBITION ACT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,PROHIBITION ACT,1,0,1,0,6,0,0,13,3,0,4,0,0,3,0,0
Karnataka,PROHIBITION ACT,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0
Kerala,PROHIBITION ACT,4826,6460,10176,20213,37896,42747,52282,48828,51989,58197,65046,7042,7162,6679,7169,7068
Madhya Pradesh,PROHIBITION ACT,1955,0,1,0,0,0,0,0,14,0,43,0,0,0,0,2092
Maharashtra,PROHIBITION ACT,81364,75904,69412,71814,67932,71171,72442,61660,62772,65128,71119,132228,127316,119647,121028,93959
Manipur,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mizoram,PROHIBITION ACT,221,169,116,110,146,91,55,133,51,64,93,228,180,0,0,262
Nagaland,PROHIBITION ACT,28,27,31,42,99,69,46,74,61,197,215,40,31,57,22,35
Odisha,PROHIBITION ACT,1,1,0,1,1,0,0,0,0,0,0,0,3,0,0,5
Punjab,PROHIBITION ACT,8,2,6,5,3,2,9,8,6,8,4,4,12,8,8,10
Rajasthan,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,PROHIBITION ACT,89447,101746,117410,116512,93868,95311,90272,85530,107171,116810,119211,255576,238841,226120,128730,95270
Tripura,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Uttarakhand,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
West Bengal,PROHIBITION ACT,15,10,3,3,2,5,1,0,0,0,0,13,4,25,1,15
A&N Islands,PROHIBITION ACT,77,59,77,64,79,70,22,22,22,14,19,130,103,72,62,30
Chandigarh,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
